Visitor_ID,Nama,No_KTP,Usia,Lama_Kunjungan,Status_Pengunjung,Area_Dominan,Banyak_Kunjungan
1,Dr. Daniel Martin DDS,101-67-0182,50,160,0,Artefak,8
2,Nathaniel Sanders,726-05-2029,50,136,0,Berlian,1
3,Danielle Williams,827-53-6091,53,164,0,Lukisan,4
4,Becky Simpson,533-22-8981,54,282,0,Kendaraan,6
5,Timothy Castro,731-94-3190,23,113,0,Artefak,9
6,Amanda Cantrell,386-70-9574,25,255,1,Geologi,2
7,Curtis Smith,746-25-4180,50,185,0,Berlian,1
8,Mackenzie Perry,319-67-7541,31,48,0,Berlian,2
9,Ashley Allen,115-73-0504,55,179,0,Kendaraan,7
10,Michael Barrett,360-63-8998,32,256,0,Patung,3
11,Michael Peterson,096-99-1956,57,35,0,Lukisan,2
12,Dorothy Phillips,196-30-0515,29,22,0,Berlian,7
13,Emma Robinson,311-09-0169,45,45,1,Kendaraan,2
14,Dana Simmons,448-54-1174,46,182,0,Kendaraan,3
15,Jennifer Myers,462-13-0904,36,29,1,Artefak,7
16,Dr. Nancy Martinez DVM,823-63-7057,48,273,1,Geologi,4
17,William Ryan,536-42-8224,40,151,0,Patung,1
18,Laura Dunn,150-70-4530,22,152,0,Lukisan,5
19,Katherine Gonzales,799-46-3252,70,101,0,Sejarah,9
20,Rachel Miller,607-60-6862,18,297,0,Geologi,8
21,Jody Avila,775-14-0359,49,224,0,Geologi,9
22,Rodney Johnson,679-95-6542,25,60,0,Artefak,9
23,Wesley Munoz,195-32-7709,63,162,0,Berlian,7
24,Sharon Nguyen,590-19-2065,18,195,1,Berlian,4
25,Matthew Edwards,835-28-2780,25,72,1,Artefak,5
26,Tina Nguyen,384-55-2040,25,199,0,Kendaraan,1
27,Richard Taylor,154-17-4901,66,134,1,Berlian,1
28,Timothy Parsons,878-62-1366,52,159,0,Patung,3
29,Courtney Smith,190-85-4083,50,67,0,Lukisan,8
30,Kristen Evans,216-63-4823,32,512,1,Berlian,4
31,Troy Miller,083-05-0807,32,179,0,Geologi,4
32,William Wright,597-85-2261,25,280,0,Patung,2
33,Charles Dean,484-44-9731,25,63,0,Berlian,5
34,Victoria Smith,671-19-5942,43,110,0,Geologi,9
35,Mallory Jefferson,560-12-3245,28,273,1,Sejarah,1
36,Donna Valencia,735-38-0870,45,62,0,Lukisan,5
37,Amy Perez,508-77-5403,32,69,0,Lukisan,9
38,Crystal Nixon,408-03-8079,22,117,0,Geologi,1
39,Alicia Henderson,825-66-3408,25,14,0,Artefak,9
40,Ian Price,445-42-8406,54,112,0,Geologi,8
41,Robert Foster,241-64-0697,65,205,1,Artefak,4
42,Brandi Ford DDS,464-54-0569,51,271,0,Geologi,5
43,Robert Parks,870-64-3917,52,56,0,Sejarah,5
44,Katherine Gutierrez,557-86-1181,25,153,0,Kendaraan,6
45,Travis Dominguez,738-77-9272,35,278,0,Lukisan,7
46,Derrick Nguyen,426-22-0531,43,133,0,Geologi,8
47,Stephanie Monroe,300-06-2621,25,115,0,Sejarah,8
48,Clayton Luna,381-74-5511,56,167,0,Artefak,2
49,Wayne Khan,340-36-1324,58,156,0,Artefak,9
50,Rebecca Nguyen,141-13-5105,25,154,0,Lukisan,7
51,Jim Russel,592-12-5349,25,598,0,Berlian,1
52,Jasmine Taylor,078-03-6874,49,284,0,Geologi,4
53,Charles Gonzales,822-41-4743,25,101,0,Berlian,8
54,Brandon Boyd,335-30-8631,25,67,0,Artefak,4
55,Harold Craig,054-72-8593,25,238,0,Kendaraan,6
56,Michael Guzman,170-15-2725,25,126,0,Kendaraan,5
57,Larry Coffey,267-06-9983,31,288,0,Artefak,3
58,Nicholas Smith,881-18-9852,46,136,1,Patung,2
59,Diana Reid MD,510-12-4205,70,138,0,Patung,9
60,Heather Powell,380-32-4913,62,67,1,Sejarah,9
61,Bradley Lindsey,156-16-9706,25,131,0,Kendaraan,1
62,Anthony Williams,081-47-5974,37,10,0,Sejarah,3
63,Christopher Allen,747-70-5641,41,248,1,Kendaraan,8
64,Aaron Rocha,880-37-3319,26,299,0,Geologi,6
65,Laura Stephens,185-69-5013,18,105,0,Geologi,5
66,Sarah Johnson,602-38-1400,50,135,0,Berlian,5
67,William Garcia,687-05-4012,55,127,0,Geologi,6
